"","admission.department","discharge.department","flow"
"1","Ⅰ2 Emergency Surgery","Ⅰ2 Emergency Surgery",1
"2","Ⅰ2 Emergency Surgery","Ⅰ2 Emergency Surgery",1
"3","Ⅰ2 Emergency Surgery","Ⅰ2 Emergency Surgery",1
"4","Ⅰ2 Emergency Surgery","Ⅰ2 Emergency Surgery",2
"5","Ⅰ2 Emergency Surgery","Ⅰ2 Emergency Surgery",1
"6","Ⅰ2 Emergency Surgery","Ⅰ2 Emergency Surgery",1
"7","Anorectal Surgery","Anorectal Surgery",1
"8","Anorectal Surgery","Anorectal Surgery",1
"9","Anorectal Surgery","Anorectal Surgery",5
"10","Anorectal Surgery","Anorectal Surgery",8
"11","Anorectal Surgery","Anorectal Surgery",2
"12","Anorectal Surgery","Anorectal Surgery",1
"13","Anorectal Surgery","Anorectal Surgery",3
"14","Anorectal Surgery","Anorectal Surgery",8
"15","Anorectal Surgery","Anorectal Surgery",3
"16","Anorectal Surgery","Anorectal Surgery",13
"17","Anorectal Surgery","Anorectal Surgery",2
"18","Anorectal Surgery","Anorectal Surgery",7
"19","Anorectal Surgery","Anorectal Surgery",1
"20","Anorectal Surgery","Anorectal Surgery",2
"21","Anorectal Surgery","Anorectal Surgery",1
"22","Anorectal Surgery","Anorectal Surgery",2
"23","Anorectal Surgery","Anorectal Surgery",23
"24","Anorectal Surgery","Anorectal Surgery",14
"25","Anorectal Surgery","Anorectal Surgery",44
"26","Anorectal Surgery","Anorectal Surgery",27
"27","Anorectal Surgery","Anorectal Surgery",7
"28","Anorectal Surgery","Anorectal Surgery",15
"29","Anorectal Surgery","Anorectal Surgery",9
"30","Anorectal Surgery","Anorectal Surgery",1
"31","Anorectal Surgery","Anorectal Surgery",10
"32","Anorectal Surgery","Anorectal Surgery",6
"33","Anorectal Surgery","Anorectal Surgery",13
"34","Anorectal Surgery","Anorectal Surgery",18
"35","Anorectal Surgery","Anorectal Surgery",16
"36","Anorectal Surgery","Anorectal Surgery",6
"37","Anorectal Surgery","Anorectal Surgery",8
"38","Anorectal Surgery","Anorectal Surgery",4
"39","Anorectal Surgery","Anorectal Surgery",6
"40","Anorectal Surgery","Anorectal Surgery",3
"41","Anorectal Surgery","Anorectal Surgery",7
"42","Anorectal Surgery","Anorectal Surgery",2
"43","Anorectal Surgery","Anorectal Surgery",1
"44","Anorectal Surgery","Anorectal Surgery",1
"45","Anorectal Surgery","Anorectal Surgery",3
"46","Anorectal Surgery","Anorectal Surgery",3
"47","Cardiology","Anorectal Surgery",1
"48","Gastroenterology","Anorectal Surgery",1
"49","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",2
"50","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",3
"51","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",4
"52","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",10
"53","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",12
"54","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",12
"55","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",6
"56","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",20
"57","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",20
"58","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",7
"59","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",10
"60","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",43
