"","admission.department","discharge.department","flow"
"1","Urology","Ⅱ2 Hepatobiliary Surgery",1
"2","Anorectal Surgery","Anorectal Surgery",1
"3","Anorectal Surgery","Anorectal Surgery",1
"4","Anorectal Surgery","Anorectal Surgery",2
"5","Anorectal Surgery","Anorectal Surgery",1
"6","Anorectal Surgery","Anorectal Surgery",4
"7","Anorectal Surgery","Anorectal Surgery",6
"8","Anorectal Surgery","Anorectal Surgery",3
"9","Anorectal Surgery","Anorectal Surgery",1
"10","Anorectal Surgery","Anorectal Surgery",1
"11","Anorectal Surgery","Anorectal Surgery",2
"12","Anorectal Surgery","Anorectal Surgery",2
"13","Anorectal Surgery","Anorectal Surgery",1
"14","Anorectal Surgery","Anorectal Surgery",8
"15","Anorectal Surgery","Anorectal Surgery",6
"16","Anorectal Surgery","Anorectal Surgery",9
"17","Anorectal Surgery","Anorectal Surgery",2
"18","Anorectal Surgery","Anorectal Surgery",4
"19","Anorectal Surgery","Anorectal Surgery",1
"20","Anorectal Surgery","Anorectal Surgery",1
"21","Anorectal Surgery","Anorectal Surgery",1
"22","Anorectal Surgery","Anorectal Surgery",1
"23","Anorectal Surgery","Anorectal Surgery",2
"24","Anorectal Surgery","Anorectal Surgery",1
"25","Anorectal Surgery","Anorectal Surgery",2
"26","Anorectal Surgery","Anorectal Surgery",1
"27","Anorectal Surgery","Anorectal Surgery",3
"28","Anorectal Surgery","Anorectal Surgery",1
"29","Cardiology","Anorectal Surgery",1
"30","Gastroenterology","Anorectal Surgery",1
"31","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",1
"32","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",1
"33","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",1
"34","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",1
"35","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",1
"36","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",1
"37","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",8
"38","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",1
"39","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",1
"40","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",1
"41","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",1
"42","Department of Traditional Chinese Medicine","Breast Thyroid Oncology Surgery",1
